image_path,caption,image_entropy_total,image_entropy_r,image_entropy_g,image_entropy_b,text_entropy
img\image_0.jpg,"English: Puerto Rican Giant Centipede, Scolopendra gigantea; Vieques, Puerto Rico Slovenčina: Stonožka obrovská, Scolopendra gigantea; Vieques, Portoriko",7.685630947097618,7.705777263003484,7.713947411349322,7.637168166940047,4.269140882381879
img\image_1.jpg,English: Moulay Ali Cherif Mausoleum in Rissani south east Morocco,5.495579503842269,5.559248438741571,5.824226559034347,5.103263513750886,3.927911687403116
img\image_2.jpg,"English: Teucrium corymbosum, Marysville, Victoria, Australia",7.34643533481232,7.614480315014676,7.299868468812363,7.124957220609918,4.12560399430953
img\image_3.jpg,Tropical Storm Fausto at high latitude in the central Pacific Ocean,7.173425038655599,7.1751790046691895,7.169093608856201,7.176003456115723,3.8719141025369597
img\image_4.jpg,Bersée Nord Nord-Pas-de-Calais-Picardie France.,7.509659880235307,7.52808315072199,7.713046877887096,7.287849612096833,3.8821769594621522
img\image_5.jpg,English: Igreja do Rosário,7.496492215652302,7.384286268963188,7.616439282635005,7.488751095358712,3.7381493331928657
img\image_6.jpg,"English: Blaine Luetkemeyer, member of the United States House of Representatives.",6.8371022813868905,7.120869261939137,6.706787768533323,6.683649813688213,4.053773158025588
img\image_7.jpg,Deutsch: Optische Täuschung: Jastrow-Illusion,7.437116154861094,7.1028049677062635,7.576284855115748,7.632258641761274,4.172206918879583
img\image_8.jpg,"English: Konkalisahak, wayang kulit figure from the epos Serat Menak Sasak Deutsch: Konkalisahak, Wayang Kulit Figure aus dem Epos Serat Menak Sasak",7.105879973856968,7.072563448779828,7.11521430383759,7.129862168953488,4.099860704961841
img\image_9.jpg,"English: The Christian-Patterson Rental Property in Eugene, Oregon, listed on the NRHP",7.653417656007343,7.748648520052158,7.708874311602051,7.502730136367821,3.9218241848508724
img\image_10.jpg,English: Panasonic Lumix DMC-FZ30 digital camera Suomi: Panasonic Lumix DMC-FZ30 -digitaalikamera,4.95065234966938,4.89044590321788,4.975040355833148,4.986470789957114,4.3155662447909915
img\image_11.jpg,"English: Gideon Emery recording in studio in Los Angeles, 2017.",7.408744129409335,7.637668672032541,7.379539150418092,7.209024565777373,4.112755765047084
img\image_12.jpg,"Magyar: Horváth Ernő (Budapest, 1883. november 11. – Budapest, 1943. január 3.) tanár, a hazai aviatika úttörőjének sírja Budapesten. Kerepesi temető: 49-2-57.",7.597407263032782,7.599634390126516,7.564117506646392,7.628469892325437,4.812417404406525
img\image_13.jpg,"English: St.-Maurus-Kapelle, Beuron (Donautal), erbaut 1868–1870, Architect: Desiderius Lenz. Wallpicture of Holy Maurus Juli 2016 Deutsch: St.-Maurus-Kapelle, Beuron (Donautal), erbaut 1868–1870, Architekt: Desiderius Lenz. Wamdbild: Tod des Heiligen Maurus Juli 2016",7.2576904028376035,7.191662962082667,7.2825452934434045,7.298862952986738,4.700908929643759
img\image_14.jpg,English: Eastern Dedicated Freight Corridor of India is under construction,7.018370196269175,6.857013164799615,6.9539268922143,7.2441705317936105,3.846939684798163
img\image_15.jpg,Eesti: Fail kirjeldab veereva katiku nähtust,7.461617326686908,7.293752313600654,7.389310793491356,7.701788872968714,3.96228836907077
img\image_16.jpg,Português: Humberto Silva concede entrevista após fundação do Fundo Mundial para as Hepatites.,7.206610878865326,7.395888528244577,7.2297761659146556,6.994167942436744,4.294389485271047
img\image_17.jpg,"Italiano: Federico II riceve dal filosofo Michele Scoto la traduzione delle opere di Aristotele, 1860",7.489692802118174,7.718619279685414,7.521553981835206,7.228905144833902,4.0192987557172515
img\image_18.jpg,"Português: Antigos galpões da Cooperativa Agrícola de Cotia, no distrito do Jaguaré, cidade de São Paulo, Brasil",7.466803565725082,7.616506516160181,7.558794230141282,7.225109950873783,4.146944863899846
img\image_19.jpg,"Lanius meridionalis, Pêra, Algarve, Portugal",3.438856399611138,3.5372438568618216,3.3355038367376264,3.443821505233965,3.9534165616716064
img\image_20.jpg,"English: Invesco, a company started in Atlanta, moved to London and back to Atlanta, is headquartered in this building on Peachtree Street north of the High Museum of Art and near I-85.",7.267708232143627,7.264119551638799,7.2205918919078105,7.318413252884272,4.178313349821418
img\image_21.jpg,English: Entrance of the Neurological Institute of New York,7.721594471201475,7.750741415333629,7.710304775392313,7.703737222878484,3.9522987203460653
img\image_22.jpg,"Königlicher Kronen-Orden (Preußen): Bruststern zur I. Klasse (3. Modell), Avers.",4.613582743479002,4.5623707211274755,4.6286182541709024,4.649759255138628,4.447521807193078
img\image_23.jpg,"English: The RVCodeEditor is a part of RenovatioCMS. It enables you to edit the php, sql, html, java script and css source code of your RenovatioCMS documents. Nederlands: De RVCodeEditor is een deel van RenovatioCMS. Zij stelt u in staat om de php, sql, html, javascript en css broncode van uw RenovatioCMS documenten te beheren.",3.607086647887309,3.8098385238661727,3.712350237285811,3.299071182509943,4.200669576804377
img\image_24.jpg,"Español: Karol Cariola durante la visita de la candidata presidencial Nueva Mayoría, Michelle Bachelet, a la comuna de Independencia, el 24 de agosto de 2013.",6.441823253119542,6.371717219494856,6.446593467169425,6.507159072694345,4.195497280897887
img\image_25.jpg,Polski: Kolejka linowa Elka w Parku Śląskim w Chorzowie 2013,7.117437075259011,7.1768849514034,7.211897378372112,6.963528896001519,4.206669454469437
